Scenario,Total Images,Selected,Discarded,Transmission %,Reduction %,Inference Time per Image (s),Inference Per Second,Avg Batch Time (s),Mean Score,Min Score,Max Score
10pct,40,4,36,10.0,90.0,0.077313530445098,12.9343466045715,1.270628094673156,0.042743948288261,0.037592012435197004,0.047544978559017
5pct,40,2,38,5.0,95.0,0.077313530445098,12.9343466045715,1.270628094673156,0.046433176845312,0.045321375131607,0.047544978559017
1pct,40,1,39,1.0,99.0,0.077313530445098,12.9343466045715,1.270628094673156,0.047544978559017,0.047544978559017,0.047544978559017
