Scenario,Total Images,Selected,Discarded,Transmission %,Reduction %,Inference Time per Image (s),Inference per Second,Avg Batch Time (s),Mean Score,Min Score,Max Score
10pct,2000,200,1800,10.0,90.0,0.088578013777732,11.289483217689677,1.856920828894963,0.029935116171836,0.025745049118995,0.05168100073933601
5pct,2000,100,1900,5.0,95.0,0.088578013777732,11.289483217689677,1.856920828894963,0.032838372066616,0.028725426644086,0.05168100073933601
1pct,2000,20,1980,1.0,99.0,0.088578013777732,11.289483217689677,1.856920828894963,0.040318726934492004,0.035392671823501004,0.05168100073933601
