file_path,reconstruction_error,rank,transmission_percent,selected_for_transmission
C:\Users\patry\Desktop\EdgeAi\git\data\NLF_0002_0667130334_929RAD_N0010052AUT_04096_0A00LLJ03.jpg,0.047544978559017,1,5,True
C:\Users\patry\Desktop\EdgeAi\git\data\NLFF0173_0682274084_191RAD_N0061450NCAM00604_0A00LLJ01.jpg,0.045321375131607,2,5,True
